Pixel,Wavelength (nm),Intensity (a.u.)
Pixel,Wavelength,Intensity
990,765.203,4348.08
991,765.582,4359.5
992,765.96,4343.75
993,766.338,4318.83
994,766.715,4302.25
995,767.093,4296.58
996,767.471,4287
997,767.848,4284.5
998,768.226,4305.75
999,768.603,4313.92
1000,768.98,4310.67
1001,769.357,4314.08
1002,769.734,4325.17
1003,770.111,4334.42
1004,770.488,4335.83
1005,770.864,4345
1006,771.241,4351.83
1007,771.617,4342.17
1008,771.994,4328.67
1009,772.37,4319.08
1010,772.746,4318.25
1011,773.122,4340
1012,773.498,4356.33
1013,773.874,4353.92
1014,774.25,4354.33
1015,774.625,4358.83
1016,775.001,4360.25
1017,775.376,4357.42
1018,775.751,4345.42
1019,776.127,4338.92
1020,776.502,4345.25
1021,776.877,4354.08
1022,777.252,4361.33
1023,777.626,4366.42
1024,778.001,4369.75
1025,778.375,4369.33
1026,778.75,4363.92
1027,779.124,4349.83
1028,779.499,4352.83
1029,779.873,4357.58
1030,780.247,4347.58
1031,780.621,4340
1032,780.994,4335
1033,781.368,4347.5
1034,781.742,4362.42
1035,782.115,4375.25
1036,782.489,4393
1037,782.862,4409.58
1038,783.235,4415.83
1039,783.608,4414.42
1040,783.981,4397.92
1041,784.354,4386.92
1042,784.727,4384.83
1043,785.1,4364.5
1044,785.472,4362
1045,785.845,4377.17
1046,786.217,4378.08
1047,786.589,4368.17
1048,786.961,4352
1049,787.333,4330.33
1050,787.705,4324.33
1051,788.077,4328.17
1052,788.449,4321.75
1053,788.82,4326
1054,789.192,4336.75
1055,789.563,4335.08
1056,789.934,4333.33
1057,790.306,4329.92
1058,790.677,4330
1059,791.048,4330
1060,791.419,4317.83
1061,791.789,4303.08
1062,792.16,4290.92
1063,792.53,4277.5
1064,792.901,4271.17
1065,793.271,4268.25
1066,793.641,4252.92
1067,794.012,4226.83
1068,794.382,4223.08
1069,794.751,4239
1070,795.121,4244.75
1071,795.491,4239.25
1072,795.861,4233.58
1073,796.23,4228.5
1074,796.599,4233.25
1075,796.969,4254.42
1076,797.338,4271.92
1077,797.707,4284.42
1078,798.076,4292.75
1079,798.445,4290.83
1080,798.813,4283.67
1081,799.182,4261.83
1082,799.55,4240.17
1083,799.919,4224.92
1084,800.287,4204.83
1085,800.655,4198.58
1086,801.023,4211.83
1087,801.391,4225
1088,801.759,4224.58
1089,802.127,4221.17
1090,802.495,4227.25
1091,802.862,4236
1092,803.23,4228.25
1093,803.597,4216.42
1094,803.964,4218.75
1095,804.331,4213.58
1096,804.698,4208.33
1097,805.065,4198.75
1098,805.432,4171.58
1099,805.799,4159.17
1100,806.165,4152.25
1101,806.532,4135.5
1102,806.898,4132.25
1103,807.264,4130.5
1104,807.631,4118.08
1105,807.997,4115.75
1106,808.363,4121.75
1107,808.728,4122.83
1108,809.094,4124.83
1109,809.46,4114.58
1110,809.825,4102.33
1111,810.191,4094.92
1112,810.556,4086.83
1113,810.921,4085.92
1114,811.286,4086.67
1115,811.651,4094.83
1116,812.016,4092.42
1117,812.381,4075.33
1118,812.745,4066.17
1119,813.11,4062.92
1120,813.474,4052.25
1121,813.839,4041.42
1122,814.203,4032.08
1123,814.567,4022.92
1124,814.931,4004.17
1125,815.295,3989.42
1126,815.659,3999
1127,816.022,3995.67
1128,816.386,3972.75
1129,816.749,3961.67
1130,817.113,3954.92
1131,817.476,3944.33
1132,817.839,3944.33
1133,818.202,3954
1134,818.565,3958.08
1135,818.928,3949.92
1136,819.291,3939.17
1137,819.653,3933.67
1138,820.016,3937.17
1139,820.378,3937.33
1140,820.74,3926.33
1141,821.102,3923.17
1142,821.464,3921.08
1143,821.826,3916.42
1144,822.188,3912.17
