depth[mm]	HF [V]	NF [V]	TGC [dB]
74,2	0,006	0,003	10,551
74,4	0,006	-0,003	10,551
74,5	0,006	-0,006	10,551
74,6	0,007	-0,003	10,551
74,8	0,008	0,003	10,551
74,9	0,008	0,007	10,551
75,1	0,006	0,006	10,551
75,2	0,004	0,001	10,551
75,3	0,002	-0,001	10,551
75,5	0,003	0,002	10,656
75,6	0,004	0,005	10,569
75,8	0,005	0,003	10,639
75,9	0,005	-0,002	10,604
76,0	0,004	-0,003	10,674
76,2	0,002	0,000	10,656
76,3	0,002	0,002	10,621
76,4	0,002	-0,001	10,674
76,6	0,004	-0,004	10,709
76,7	0,006	0,000	10,674
76,9	0,006	0,006	10,691
77,0	0,006	0,005	10,709
77,1	0,006	-0,003	10,709
77,3	0,006	-0,006	10,709
77,4	0,007	0,002	10,709
77,6	0,007	0,007	10,709
77,7	0,009	0,000	10,709
77,8	0,010	-0,010	10,709
78,0	0,011	-0,005	10,709
78,1	0,012	0,009	10,709
78,3	0,013	0,009	10,709
78,4	0,015	-0,009	10,709
78,5	0,018	-0,017	10,709
78,7	0,020	0,004	10,709
78,8	0,023	0,022	10,709
79,0	0,025	0,004	10,709
79,1	0,027	-0,026	10,709
79,2	0,031	-0,015	10,709
79,4	0,036	0,028	10,709
79,5	0,042	0,031	10,709
79,6	0,049	-0,025	10,709
79,8	0,054	-0,051	10,709
79,9	0,061	0,015	10,761
80,1	0,077	0,073	10,709
80,2	0,112	-0,018	10,744
80,3	0,176	-0,178	10,709
80,5	0,270	-0,127	10,849
80,6	0,387	0,221	10,726
80,8	0,512	0,507	10,709
80,9	0,629	0,287	10,744
81,0	0,725	-0,358	10,866
81,2	0,787	-0,787	10,866
81,3	0,803	-0,508	10,849
81,5	0,762	0,210	10,726
81,6	0,663	0,630	10,866
81,7	0,521	0,400	10,866
81,9	0,369	-0,085	10,866
82,0	0,251	-0,246	10,866
82,1	0,196	-0,009	10,866
82,3	0,202	0,207	10,866
82,4	0,238	0,104	10,866
82,6	0,258	-0,152	10,866
82,7	0,235	-0,229	10,866
82,8	0,174	-0,080	10,866
83,0	0,104	0,063	10,866
83,1	0,059	0,045	10,866
83,3	0,052	-0,044	10,866
83,4	0,071	-0,048	10,866
83,5	0,087	0,031	10,866
83,7	0,081	0,077	10,866
83,8	0,055	0,045	10,866
84,0	0,027	0,002	10,866
84,1	0,015	0,008	10,901
84,2	0,025	0,030	10,866
84,4	0,044	0,012	10,954
84,5	0,058	-0,034	10,866
84,7	0,055	-0,050	10,936
84,8	0,040	-0,020	10,901
84,9	0,022	0,013	10,919
85,1	0,012	0,012	10,884
85,2	0,011	-0,008	10,936
85,3	0,017	-0,011	10,901
85,5	0,023	0,008	11,024
85,6	0,026	0,024	11,024
85,8	0,024	0,018	11,006
85,9	0,020	-0,001	10,936
86,0	0,016	-0,013	11,024
86,2	0,013	-0,012	11,024
86,3	0,010	-0,008	11,024
86,5	0,009	-0,007	11,024
86,6	0,009	-0,005	11,024
86,7	0,010	0,000	11,024
86,9	0,010	0,007	11,024
87,0	0,010	0,009	11,024
87,2	0,008	0,006	11,024
87,3	0,006	0,000	11,024
87,4	0,004	-0,004	11,024
87,6	0,004	-0,003	11,024
87,7	0,005	0,003	11,024
87,8	0,007	0,007	11,024
88,0	0,009	0,004	11,024
88,1	0,011	-0,004	11,024
88,3	0,011	-0,010	11,024
88,4	0,009	-0,009	11,024
88,5	0,007	-0,003	11,024
88,7	0,005	0,000	11,024
88,8	0,004	-0,001	11,024
89,0	0,005	-0,002	11,024
89,1	0,006	0,001	11,024
89,2	0,008	0,005	11,024
89,4	0,009	0,008	11,059
89,5	0,009	0,008	11,041
89,7	0,008	0,004	11,094
89,8	0,007	0,000	11,111
89,9	0,006	-0,004	11,164
90,1	0,004	-0,005	11,129
90,2	0,002	-0,002	11,181
90,3	0,002	0,000	11,181
90,5	0,003	-0,003	11,181
90,6	0,007	-0,008	11,164
