time [µs]	HF [V]	NF [V]	TGC [dB]
52,2	0,002	0,002	0,157
52,3	0,002	0,002	0,157
52,4	0,002	0,001	0,157
52,5	0,002	-0,001	0,157
52,6	0,001	-0,001	0,157
52,7	0,001	0,000	0,157
52,8	0,001	0,000	0,157
52,9	0,001	0,000	0,157
53,0	0,001	-0,001	0,157
53,1	0,001	-0,001	0,157
53,2	0,000	0,000	0,157
53,3	0,000	0,000	0,157
53,4	0,000	0,000	0,157
53,5	0,000	-0,001	0,157
53,6	0,000	0,000	0,157
53,7	0,000	0,000	0,157
53,8	0,000	0,000	0,157
53,9	0,000	-0,001	0,157
54,0	0,001	-0,001	0,157
54,1	0,001	0,000	0,157
54,2	0,001	0,000	0,157
54,3	0,000	0,000	0,157
54,4	0,000	0,000	0,157
54,5	0,000	-0,001	0,157
54,6	0,000	0,000	0,157
54,7	0,001	0,000	0,157
54,8	0,001	0,000	0,157
54,9	0,001	-0,001	0,157
55,0	0,001	0,000	0,157
55,1	0,001	0,001	0,157
55,2	0,003	0,001	0,157
55,3	0,004	-0,003	0,157
55,4	0,007	-0,007	0,157
55,5	0,009	-0,007	0,157
55,6	0,011	-0,002	0,157
55,7	0,012	0,006	0,157
55,8	0,013	0,012	0,105
55,9	0,014	0,013	0,157
56,0	0,015	0,009	0,157
56,1	0,015	0,000	0,157
56,2	0,016	-0,009	0,157
56,3	0,016	-0,015	0,157
56,4	0,016	-0,015	0,140
56,5	0,015	-0,009	0,157
56,6	0,013	0,000	0,157
56,7	0,011	0,005	0,140
56,8	0,010	0,008	0,157
56,9	0,008	0,008	0,157
57,0	0,008	0,008	0,157
57,1	0,007	0,005	0,157
57,2	0,006	0,002	0,157
57,3	0,004	-0,001	0,157
57,4	0,003	-0,002	0,157
57,5	0,001	-0,001	0,157
57,6	0,001	0,000	0,157
57,7	0,001	-0,001	0,157
57,8	0,001	-0,001	0,157
57,9	0,001	-0,001	0,157
58,0	0,001	0,000	0,157
58,1	0,000	0,000	0,157
58,2	0,001	-0,001	0,157
58,3	0,002	-0,001	0,157
