depth[mm]	HF [V]	NF [V]	TGC [dB]
58,2	0,002	0,000	10,026
58,4	0,002	0,000	10,009
58,5	0,003	0,000	10,061
58,7	0,004	0,001	10,079
58,8	0,005	0,004	10,061
58,9	0,006	0,005	10,044
59,1	0,005	0,005	10,079
59,2	0,005	0,004	10,079
59,4	0,003	0,002	10,079
59,5	0,002	0,000	10,079
59,6	0,001	0,000	10,079
59,8	0,001	0,000	10,079
59,9	0,000	0,000	10,079
60,0	0,001	-0,001	10,079
60,2	0,001	-0,001	10,079
60,3	0,001	0,000	10,079
60,5	0,001	0,001	10,079
60,6	0,001	0,001	10,079
60,7	0,001	0,000	10,079
60,9	0,001	-0,001	10,079
61,0	0,003	-0,001	10,079
61,2	0,004	0,002	10,079
61,3	0,005	0,004	10,079
61,4	0,004	0,004	10,079
61,6	0,002	0,002	10,096
61,7	0,002	0,001	10,079
61,9	0,004	0,004	10,114
62,0	0,008	0,008	10,079
62,1	0,013	0,008	10,131
62,3	0,017	-0,001	10,114
62,4	0,021	-0,014	10,114
62,5	0,022	-0,022	10,131
62,7	0,022	-0,018	10,201
62,8	0,022	-0,006	10,131
63,0	0,020	0,008	10,096
63,1	0,019	0,016	10,096
63,2	0,017	0,017	10,184
63,4	0,016	0,012	10,096
63,5	0,015	0,003	10,236
63,7	0,016	-0,009	10,236
63,8	0,016	-0,016	10,236
63,9	0,016	-0,013	10,219
64,1	0,015	-0,002	10,236
64,2	0,013	0,008	10,219
64,4	0,011	0,011	10,236
64,5	0,008	0,006	10,219
64,6	0,006	-0,001	10,236
64,8	0,004	-0,003	10,236
64,9	0,003	-0,002	10,236
65,1	0,002	-0,001	10,236
65,2	0,002	0,001	10,236
65,3	0,002	0,001	10,236
65,5	0,002	0,002	10,236
65,6	0,002	0,002	10,236
65,7	0,001	0,001	10,236
65,9	0,000	0,000	10,236
66,0	0,000	0,000	10,236
66,2	0,000	0,000	10,236
66,3	0,000	0,000	10,236
66,4	0,001	0,000	10,254
66,6	0,001	-0,001	10,254
66,7	0,001	0,000	10,254
66,9	0,001	0,000	10,289
67,0	0,002	0,000	10,289
67,1	0,002	0,001	10,394
67,3	0,002	0,001	10,306
67,4	0,001	0,002	10,376
67,6	0,001	0,001	10,359
67,7	0,001	0,000	10,394
67,8	0,001	0,000	10,341
68,0	0,002	0,001	10,394
68,1	0,002	0,002	10,359
68,2	0,002	0,002	10,394
68,4	0,002	0,002	10,394
68,5	0,002	0,000	10,394
68,7	0,001	0,000	10,394
68,8	0,001	-0,001	10,394
68,9	0,001	-0,001	10,394
69,1	0,000	0,000	10,376
69,2	0,000	0,000	10,394
69,4	0,001	-0,001	10,394
69,5	0,001	-0,001	10,394
69,6	0,002	0,000	10,394
69,8	0,003	0,002	10,394
69,9	0,003	0,003	10,394
70,1	0,003	0,003	10,394
70,2	0,002	0,001	10,394
70,3	0,001	-0,001	10,394
70,5	0,001	-0,001	10,394
70,6	0,000	0,000	10,394
70,8	0,001	0,000	10,394
70,9	0,001	0,000	10,394
71,0	0,001	-0,001	10,429
71,2	0,000	0,000	10,394
71,3	0,000	0,000	10,429
71,4	0,000	0,000	10,394
71,6	0,001	-0,001	10,464
71,7	0,002	-0,001	10,394
71,9	0,002	0,000	10,499
72,0	0,002	0,001	10,516
72,1	0,002	0,002	10,551
72,3	0,002	0,002	10,464
72,4	0,002	0,002	10,551
72,6	0,002	0,002	10,551
72,7	0,002	0,002	10,551
72,8	0,002	0,001	10,551
73,0	0,001	0,000	10,551
73,1	0,001	-0,001	10,551
73,3	0,001	-0,001	10,551
73,4	0,001	0,000	10,551
73,5	0,000	0,000	10,551
73,7	0,000	0,000	10,551
73,8	0,001	0,000	10,551
73,9	0,001	0,000	10,551
74,1	0,002	0,001	10,551
74,2	0,002	0,002	10,551
74,4	0,002	0,002	10,551
74,5	0,002	0,001	10,551
74,6	0,001	0,000	10,551
74,8	0,001	0,001	10,481
74,9	0,002	0,002	10,394
75,1	0,002	0,002	10,394
75,2	0,003	0,001	10,271
75,3	0,003	-0,001	9,921
75,5	0,002	-0,002	6,929
75,6	0,002	-0,001	2,975
75,8	0,001	-0,001	1,575
75,9	0,001	-0,001	0,962
76,0	0,001	-0,001	0,787
76,2	0,001	0,000	0,577
76,3	0,001	0,000	0,455
76,4	0,001	0,000	0,315
76,6	0,000	-0,001	0,297
76,7	0,001	-0,001	0,157
76,9	0,001	0,000	0,157
77,0	0,001	0,001	0,157
77,1	0,001	-0,001	0,157
77,3	0,001	-0,001	0,122
77,4	0,001	0,000	0,122
77,6	0,001	0,001	0,035
77,7	0,001	0,000	0,035
77,8	0,002	-0,002	0,017
78,0	0,002	-0,001	0,000
78,1	0,002	0,001	0,000
78,3	0,002	0,002	0,017
78,4	0,003	-0,001	0,000
78,5	0,003	-0,003	0,035
78,7	0,004	0,000	0,000
78,8	0,004	0,004	0,035
79,0	0,005	0,002	0,000
79,1	0,005	-0,004	0,017
79,2	0,005	-0,004	0,000
79,4	0,006	0,004	0,017
79,5	0,007	0,007	0,000
79,6	0,009	-0,002	0,000
79,8	0,010	-0,009	0,000
79,9	0,011	0,000	0,017
80,1	0,013	0,013	0,000
80,2	0,019	0,002	0,000
80,3	0,031	-0,029	0,000
80,5	0,049	-0,031	0,000
80,6	0,072	0,028	0,000
80,8	0,097	0,096	0,000
80,9	0,121	0,080	0,000
81,0	0,142	-0,035	0,000
81,2	0,155	-0,145	0,000
81,3	0,159	-0,133	0,000
81,5	0,150	-0,007	0,000
81,6	0,129	0,102	0,000
81,7	0,097	0,094	0,000
81,9	0,066	0,010	0,000
82,0	0,043	-0,037	0,000
82,1	0,035	-0,005	0,000
82,3	0,042	0,044	0,000
82,4	0,054	0,034	0,000
