time,Y 
0.556407,0.5699806
0.556429,0.5750803
0.556451,0.5725305
0.556474,0.5712555
0.556496,0.5750803
0.556518,0.5699806
0.556540,0.5725305
0.556563,0.5687056
0.556585,0.5699806
0.556607,0.5750803
0.556629,0.5687056
0.556651,0.5750803
0.556674,0.5738054
0.556696,0.5725305
0.556718,0.5750803
0.556740,0.5687056
0.556762,0.5725305
0.556785,0.5712555
0.556807,0.5687056
0.556829,0.5750803
0.556851,0.5725305
0.556873,0.5725305
0.556896,0.5750803
0.556918,0.5687056
0.556940,0.5712555
0.556962,0.5712555
0.556984,0.5699806
0.557007,0.5750803
0.557029,0.5699806
0.557051,0.5725305
0.557073,0.5725305
0.557096,0.5687056
0.557118,0.5750803
0.557140,0.5725305
0.557162,0.5725305
0.557184,0.5750803
0.557207,0.5687056
0.557229,0.5712555
0.557251,0.5725305
0.557273,0.5687056
0.557295,0.5750803
0.557318,0.5712555
0.557340,0.5725305
0.557362,0.5750803
0.557384,0.5712555
0.557406,0.5750803
0.557429,0.5725305
0.557451,0.5725305
0.557473,0.5725305
0.557495,0.5687056
0.557517,0.5725305
0.557540,0.5738054
0.557562,0.5687056
0.557584,0.5750803
0.557606,0.5738054
0.557629,0.5725305
0.557651,0.5750803
0.557673,0.5725305
0.557695,0.5750803
0.557717,0.5725305
0.557740,0.5712555
0.557762,0.5725305
0.557784,0.5687056
0.557806,0.5750803
0.557828,0.5725305
0.557851,0.5712555
0.557873,0.5763553
0.557895,0.5699806
0.557917,0.5725305
0.557939,0.5712555
0.557962,0.5687056
0.557984,0.5750803
0.558006,0.5725305
0.558028,0.5699806
0.558050,0.5750803
0.558073,0.5687056
0.558095,0.5725305
0.558117,0.5712555
0.558139,0.5699806
0.558162,0.5725305
0.558184,0.5687056
0.558206,0.5725305
0.558228,0.5712555
0.558250,0.5725305
0.558273,0.5750803
0.558295,0.5699806
0.558317,0.5725305
0.558339,0.5725305
0.558361,0.5699806
0.558384,0.5738054
0.558406,0.5712555
0.558428,0.5725305
0.558450,0.5750803
0.558472,0.5687056
0.558495,0.5712555
0.558517,0.5725305
0.558539,0.5725305
0.558561,0.5750803
0.558583,0.5687056
0.558606,0.5712555
0.558628,0.5725305
0.558650,0.5699806
0.558672,0.5750803
0.558695,0.5712555
0.558717,0.5712555
0.558739,0.5750803
0.558761,0.5687056
0.558783,0.5725305
0.558806,0.5725305
0.558828,0.5687056
0.558850,0.5750803
0.558872,0.5725305
0.558894,0.5725305
0.558917,0.5750803
0.558939,0.5699806
0.558961,0.5738054
0.558983,0.5687056
0.559005,0.5712555
0.559028,0.5750803
0.559050,0.5687056
0.559072,0.5750803
0.559094,0.5725305
0.559116,0.5725305
0.559139,0.5750803
0.559161,0.5699806
0.559183,0.5725305
0.559205,0.5725305
0.559228,0.5699806
0.559250,0.5750803
0.559272,0.5712555
0.559294,0.5725305
0.559316,0.5738054
0.559339,0.5699806
0.559361,0.5725305
0.559383,0.5712555
0.559405,0.5712555
0.559427,0.5738054
0.559450,0.5699806
0.559472,0.5738054
0.559494,0.5712555
0.559516,0.5725305
0.559538,0.5750803
0.559561,0.5687056
0.559583,0.5725305
0.559605,0.5725305
0.559627,0.5687056
0.559649,0.5750803
0.559672,0.5725305
0.559694,0.5725305
0.559716,0.5750803
0.559738,0.5699806
0.559761,0.5750803
0.559783,0.5725305
0.559805,0.5725305
0.559827,0.5750803
0.559849,0.5687056
0.559872,0.5712555
0.559894,0.5725305
0.559916,0.5699806
0.559938,0.5738054
0.559960,0.5725305
0.559983,0.5712555
0.560005,0.5750803
0.560027,0.5687056
0.560049,0.5725305
0.560071,0.5712555
0.560094,0.5725305
0.560116,0.5750803
0.560138,0.5699806
0.560160,0.5750803
0.560182,0.5725305
0.560205,0.5712555
0.560227,0.5750803
0.560249,0.5687056
0.560271,0.5725305
0.560294,0.5725305
0.560316,0.5687056
0.560338,0.5750803
0.560360,0.5712555
0.560382,0.5725305
0.560405,0.5712555
0.560427,0.5687056
0.560449,0.5750803
0.560471,0.5712555
0.560493,0.5725305
0.560516,0.5738054
0.560538,0.5687056
0.560560,0.5725305
0.560582,0.5712555
0.560604,0.5687056
0.560627,0.5750803
0.560649,0.5725305
0.560671,0.5725305
0.560693,0.5750803
0.560715,0.5725305
0.560738,0.5725305
0.560760,0.5725305
0.560782,0.5712555
0.560804,0.5750803
0.560827,0.5699806
0.560849,0.5750803
0.560871,0.5725305
0.560893,0.5712555
0.560915,0.5750803
0.560938,0.5687056
0.560960,0.5725305
0.560982,0.5712555
0.561004,0.5699806
0.561026,0.5750803
0.561049,0.5712555
0.561071,0.5725305
0.561093,0.5738054
0.561115,0.5699806
0.561137,0.5725305
0.561160,0.5725305
0.561182,0.5699806
0.561204,0.5750803
0.561226,0.5712555
0.561248,0.5712555
0.561271,0.5750803
0.561293,0.5687056
0.561315,0.5738054
0.561337,0.5699806
0.561360,0.5725305
0.561382,0.5750803
0.561404,0.5699806
0.561426,0.5738054
0.561448,0.5725305
0.561471,0.5725305
0.561493,0.5750803
0.561515,0.5699806
0.561537,0.5725305
0.561559,0.5738054
0.561582,0.5699806
0.561604,0.5750803
0.561626,0.5725305
0.561648,0.5725305
0.561670,0.5738054
0.561693,0.5687056
0.561715,0.5725305
0.561737,0.5725305
0.561759,0.5699806
0.561781,0.5750803
0.561804,0.5725305
0.561826,0.5712555
0.561848,0.5738054
0.561870,0.5725305
0.561893,0.5738054
0.561915,0.5687056
0.561937,0.5725305
0.561959,0.5725305
0.561981,0.5687056
0.562004,0.5750803
0.562026,0.5712555
0.562048,0.5725305
0.562070,0.5738054
0.562092,0.5699806
0.562115,0.5712555
0.562137,0.5725305
0.562159,0.5687056
0.562181,0.5750803
0.562203,0.5725305
0.562226,0.5725305
0.562248,0.5750803
0.562270,0.5687056
0.562292,0.5725305
0.562314,0.5712555
0.562337,0.5699806
0.562359,0.5750803
0.562381,0.5725305
0.562403,0.5725305
0.562426,0.5750803
