waveform	[0]
t0	01-01-1904  00:00:00.000000
delta t	2.500000E-5

time	Y[0]
01-01-1904  00:00:00.006950	6.120536E-1
01-01-1904  00:00:00.006975	6.184283E-1
01-01-1904  00:00:00.007000	6.197033E-1
01-01-1904  00:00:00.007025	6.069539E-1
01-01-1904  00:00:00.007050	6.171534E-1
01-01-1904  00:00:00.007075	6.069539E-1
01-01-1904  00:00:00.007100	6.222531E-1
01-01-1904  00:00:00.007125	6.146035E-1
01-01-1904  00:00:00.007150	6.171534E-1
01-01-1904  00:00:00.007175	6.133286E-1
01-01-1904  00:00:00.007200	6.171534E-1
01-01-1904  00:00:00.007225	6.056789E-1
01-01-1904  00:00:00.007250	6.235281E-1
01-01-1904  00:00:00.007275	6.120536E-1
01-01-1904  00:00:00.007300	6.184283E-1
01-01-1904  00:00:00.007325	6.120536E-1
01-01-1904  00:00:00.007350	6.158784E-1
01-01-1904  00:00:00.007375	6.235281E-1
01-01-1904  00:00:00.007400	6.107787E-1
01-01-1904  00:00:00.007425	6.235281E-1
01-01-1904  00:00:00.007450	6.107787E-1
01-01-1904  00:00:00.007475	6.171534E-1
01-01-1904  00:00:00.007500	6.120536E-1
01-01-1904  00:00:00.007525	6.184283E-1
01-01-1904  00:00:00.007550	6.146035E-1
01-01-1904  00:00:00.007575	6.171534E-1
01-01-1904  00:00:00.007600	6.044040E-1
01-01-1904  00:00:00.007625	6.146035E-1
01-01-1904  00:00:00.007650	6.107787E-1
01-01-1904  00:00:00.007675	6.158784E-1
01-01-1904  00:00:00.007700	6.146035E-1
01-01-1904  00:00:00.007725	6.158784E-1
01-01-1904  00:00:00.007750	6.209782E-1
01-01-1904  00:00:00.007775	6.031290E-1
01-01-1904  00:00:00.007800	6.235281E-1
01-01-1904  00:00:00.007825	6.133286E-1
01-01-1904  00:00:00.007850	6.197033E-1
01-01-1904  00:00:00.007875	6.107787E-1
01-01-1904  00:00:00.007900	6.133286E-1
01-01-1904  00:00:00.007925	6.158784E-1
01-01-1904  00:00:00.007950	6.197033E-1
01-01-1904  00:00:00.007975	6.107787E-1
01-01-1904  00:00:00.008000	6.184283E-1
01-01-1904  00:00:00.008025	6.133286E-1
01-01-1904  00:00:00.008050	6.133286E-1
01-01-1904  00:00:00.008075	6.158784E-1
01-01-1904  00:00:00.008100	6.184283E-1
01-01-1904  00:00:00.008125	6.209782E-1
01-01-1904  00:00:00.008150	6.069539E-1
01-01-1904  00:00:00.008175	6.158784E-1
01-01-1904  00:00:00.008200	6.120536E-1
01-01-1904  00:00:00.008225	6.158784E-1
01-01-1904  00:00:00.008250	6.171534E-1
01-01-1904  00:00:00.008275	6.158784E-1
01-01-1904  00:00:00.008300	6.197033E-1
01-01-1904  00:00:00.008325	6.018541E-1
01-01-1904  00:00:00.008350	6.209782E-1
01-01-1904  00:00:00.008375	6.107787E-1
01-01-1904  00:00:00.008400	6.209782E-1
01-01-1904  00:00:00.008425	6.120536E-1
01-01-1904  00:00:00.008450	6.133286E-1
01-01-1904  00:00:00.008475	6.120536E-1
01-01-1904  00:00:00.008500	6.197033E-1
01-01-1904  00:00:00.008525	6.107787E-1
01-01-1904  00:00:00.008550	6.197033E-1
01-01-1904  00:00:00.008575	6.107787E-1
01-01-1904  00:00:00.008600	6.146035E-1
01-01-1904  00:00:00.008625	6.095037E-1
01-01-1904  00:00:00.008650	6.171534E-1
01-01-1904  00:00:00.008675	6.248030E-1
01-01-1904  00:00:00.008700	6.107787E-1
01-01-1904  00:00:00.008725	6.171534E-1
01-01-1904  00:00:00.008750	6.069539E-1
01-01-1904  00:00:00.008775	6.184283E-1
01-01-1904  00:00:00.008800	6.133286E-1
01-01-1904  00:00:00.008825	6.197033E-1
